,director_name,num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
1,James Cameron,723,178,760505847,Action,Avatar ,886204,4834,3054,English,USA,PG-13,2.37E+08,2009,7.9,1.78,33000
2,Gore Verbinski,302,169,309404152,Action,Pirates of the Caribbean: At World's End ,471220,48350,1238,English,USA,PG-13,3.00E+08,2007,7.1,2.35,0
3,Sam Mendes,602,148,200074175,Action,Spectre ,275868,11700,994,English,UK,PG-13,2.45E+08,2015,6.8,2.35,85000
4,Christopher Nolan,813,164,448130642,Action,The Dark Knight Rises ,1144337,106759,2701,English,USA,PG-13,2.50E+08,2012,8.5,2.35,164000
5,Andrew Stanton,462,132,73058679,Action,John Carter ,212204,1873,738,English,USA,PG-13,263700000,2012,6.6,2.35,24000
6,Sam Raimi,392,156,336530303,Action,Spider-Man 3 ,383056,46055,1902,English,USA,PG-13,2.58E+08,2007,6.2,2.35,0
7,Nathan Greno,324,100,200807262,Adventure,Tangled ,294810,2036,387,English,USA,PG,2.60E+08,2010,7.8,1.85,29000
8,Joss Whedon,635,141,458991599,Action,Avengers: Age of Ultron ,462669,92000,1117,English,USA,PG-13,2.50E+08,2015,7.5,2.35,118000
9,David Yates,375,153,301956980,Adventure,Harry Potter and the Half-Blood Prince ,321795,58753,973,English,UK,PG,2.50E+08,2009,7.5,2.35,10000
10,Zack Snyder,673,183,330249062,Action,Batman v Superman: Dawn of Justice ,371639,24450,3018,English,USA,PG-13,2.50E+08,2016,6.9,2.35,197000
11,Bryan Singer,434,169,200069408,Action,Superman Returns ,240396,29991,2367,English,USA,PG-13,2.09E+08,2006,6.1,2.35,0
12,Marc Forster,403,106,168368427,Action,Quantum of Solace ,330784,2023,1243,English,UK,PG-13,2.00E+08,2008,6.7,2.35,0
13,Gore Verbinski,313,151,423032628,Action,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,1832,English,USA,PG-13,2.25E+08,2006,7.3,2.35,5000
14,Gore Verbinski,450,150,89289910,Action,The Lone Ranger ,181792,45757,711,English,USA,PG-13,2.15E+08,2013,6.5,2.35,48000
15,Zack Snyder,733,143,291021565,Action,Man of Steel ,548573,20495,2536,English,USA,PG-13,2.25E+08,2013,7.2,2.35,118000
16,Andrew Adamson,258,150,141614023,Action,The Chronicles of Narnia: Prince Caspian ,149922,22697,438,English,USA,PG,2.25E+08,2008,6.6,2.35,0
17,Joss Whedon,703,173,623279547,Action,The Avengers ,995415,87697,1722,English,USA,PG-13,2.20E+08,2012,8.1,1.85,123000
18,Rob Marshall,448,136,241063875,Action,Pirates of the Caribbean: On Stranger Tides ,370704,54083,484,English,USA,PG-13,2.50E+08,2011,6.7,2.35,58000
19,Barry Sonnenfeld,451,106,179020854,Action,Men in Black 3 ,268154,12572,341,English,USA,PG-13,2.25E+08,2012,6.8,1.85,40000
20,Peter Jackson,422,164,255108370,Adventure,The Hobbit: The Battle of the Five Armies ,354228,9152,802,English,New Zealand,PG-13,2.50E+08,2014,7.5,2.35,65000
21,Marc Webb,599,153,262030663,Action,The Amazing Spider-Man ,451803,28489,1225,English,USA,PG-13,2.30E+08,2012,7,2.35,56000
22,Ridley Scott,343,156,105219735,Action,Robin Hood ,211765,3244,546,English,USA,PG-13,2.00E+08,2010,6.7,2.35,17000
23,Peter Jackson,509,186,258355354,Adventure,The Hobbit: The Desolation of Smaug ,483540,9152,951,English,USA,PG-13,2.25E+08,2013,7.9,2.35,83000
24,Chris Weitz,251,113,70083519,Adventure,The Golden Compass ,149019,24106,666,English,USA,PG-13,1.80E+08,2007,6.1,2.35,0
25,Peter Jackson,446,201,218051260,Action,King Kong ,316018,7123,2618,English,New Zealand,PG-13,2.07E+08,2005,7.2,2.35,0
26,James Cameron,315,194,658672302,Drama,Titanic ,793059,45223,2528,English,USA,PG-13,2.00E+08,1997,7.7,2.35,26000
27,Anthony Russo,516,147,407197282,Action,Captain America: Civil War ,272670,64798,1022,English,USA,PG-13,2.50E+08,2016,8.2,2.35,72000
28,Peter Berg,377,131,65173160,Action,Battleship ,202382,26679,751,English,USA,PG-13,2.09E+08,2012,5.9,2.35,44000
29,Colin Trevorrow,644,124,652177271,Action,Jurassic World ,418214,8458,1290,English,USA,PG-13,1.50E+08,2015,7,2,150000
30,Sam Mendes,750,143,304360277,Action,Skyfall ,522030,2039,1498,English,UK,PG-13,2.00E+08,2012,7.8,2.35,80000
31,Sam Raimi,300,135,373377893,Action,Spider-Man 2 ,411164,43388,1303,English,USA,PG-13,2.00E+08,2004,7.3,2.35,0
32,Shane Black,608,195,408992272,Action,Iron Man 3 ,557489,30426,1187,English,USA,PG-13,2.00E+08,2013,7.2,2.35,95000
33,Tim Burton,451,108,334185206,Adventure,Alice in Wonderland ,306320,79957,736,English,USA,PG,2.00E+08,2010,6.5,1.85,24000
34,Brett Ratner,334,104,234360014,Action,X-Men: The Last Stand ,383427,21714,1912,English,Canada,PG-13,2.10E+08,2006,6.8,2.35,0
35,Dan Scanlon,376,104,268488329,Adventure,Monsters University ,235025,14863,265,English,USA,G,2.00E+08,2013,7.3,1.85,44000
36,Michael Bay,366,150,402076689,Action,Transformers: Revenge of the Fallen ,323207,3218,1439,English,USA,PG-13,2.00E+08,2009,6,2.35,0
37,Michael Bay,378,165,245428137,Action,Transformers: Age of Extinction ,242420,3988,918,English,USA,PG-13,2.10E+08,2014,5.7,2.35,56000
38,Sam Raimi,525,130,234903076,Adventure,Oz the Great and Powerful ,175409,73441,511,English,USA,PG,2.15E+08,2013,6.4,2.35,60000
39,Marc Webb,495,142,202853933,Action,The Amazing Spider-Man 2 ,321227,28631,1067,English,USA,PG-13,2.00E+08,2014,6.7,2.35,41000
40,Joseph Kosinski,469,125,172051787,Action,TRON: Legacy ,264183,25550,665,English,USA,PG,1.70E+08,2010,6.8,2.35,30000
